"Distance [mm]","Fr [] - Time='0s'"
19.4110558426404,83746.1688989365
19.5239108184697,83317.0438780579
19.6367657942991,82878.9655650511
19.7496207701284,82453.3483741635
19.8624757459577,82010.8626514356
19.975330721787,81574.4200462944
20.0881856976163,81138.601052527
20.2010406734456,80715.2254432782
20.3138956492749,80287.4343880717
20.4267506251042,79861.6281458858
20.5396056009335,79454.9616765246
20.6524605767628,79014.0143287781
20.7653155525921,78628.1847049681
20.8781705284214,78217.6543160861
20.9910255042507,77835.8232357074
21.10388048008,77468.4198364552
21.2167354559093,77103.3021165572
21.3295904317386,76754.4629128117
21.4424454075679,76409.6579381404
21.5553003833972,76077.64953797
21.6681553592265,75753.8156548992
21.7810103350558,75444.0886728976
21.8938653108851,75157.804259063
22.0067202867145,74875.4270722885
22.1195752625438,74615.1017944125
22.2324302383731,74358.5009574232
22.3452852142024,74113.4082620406
22.4581401900317,73883.8867325828
22.570995165861,73676.7500650262
22.6838501416903,73485.0738017321
22.7967051175196,73286.9974505326
22.9095600933489,73125.478005515
23.0224150691782,72954.0383006577
23.1352700450075,72809.2268478589
23.2481250208368,72677.7408045919
23.3609799966661,72559.4888281537
23.4738349724954,72443.2291093602
23.5866899483247,72343.8014549687
23.699544924154,72259.5658627056
23.8123998999833,72176.5901527298
23.9252548758126,72116.7783250089
24.0381098516419,72056.5391464361
24.1509648274712,72010.568331068
24.2638198033005,71984.8469583
24.3766747791299,71955.420786377
24.4895297549592,71942.2529587596
24.6023847307885,71936.2944378858
24.7152397066178,71938.3288823256
24.8280946824471,71941.5847984987
24.9409496582764,71945.9666747908
25.0538046341057,71968.4266028778
25.166659609935,71985.307096496
25.2795145857643,72012.8425578866
25.3923695615936,72041.1589862867
25.5052245374229,72096.2976338548
25.6180795132522,72136.8425826588
25.7309344890815,72179.9527130977
25.8437894649108,72205.548751751
25.9566444407401,72256.6761111714
26.0694994165694,72321.9797153806
26.1823543923987,72373.0859295238
26.295209368228,72436.491940566
26.4080643440573,72506.1982703209
26.5209193198866,72572.4172496595
26.633774295716,72643.5529086894
26.7466292715453,72716.1216009185
26.8594842473746,72785.318680847
26.9723392232039,72857.4305535177
27.0851941990332,72940.3387553644
27.1980491748625,73004.3488527804
27.3109041506918,73085.8672196302
27.4237591265211,73172.3030319818
27.5366141023504,73242.785746339
27.6494690781797,73312.3275977277
27.762324054009,73379.9941473027
27.8751790298383,73463.2189266921
27.9880340056676,73532.9922822906
28.1008889814969,73602.349038926
28.2137439573262,73677.3090920525
28.3265989331555,73752.8565215605
28.4394539089848,73809.4717660442
28.5523088848141,73856.5539566328
28.6651638606434,73928.4510542759
28.7780188364727,73964.4808230655
28.8908738123021,74013.6390240327
29.0037287881314,74053.7415755297
29.1165837639607,74098.2466958825
29.22943873979,74136.1146529004
29.3422937156193,74168.0365840974
29.4551486914486,74189.6809922646
29.5680036672779,74217.2187228012
29.6808586431072,74226.4065513411
29.7937136189365,74229.7975401857
29.9065685947658,74234.1344961873
30.0194235705951,74222.3714755716
30.1322785464244,74210.2461445723
30.2451335222537,74201.2960425724
30.357988498083,74156.7826281186
30.4708434739123,74132.8046445087
30.5836984497416,74089.6797848425
30.6965534255709,74025.5384216988
30.8094084014002,73959.3172760769
30.9222633772295,73881.6251578162
31.0351183530588,73799.5863807455
31.1479733288881,73701.8216693445
31.2608283047174,73613.1541277712
31.3736832805468,73486.4355698997
31.4865382563761,73357.584690281
31.5993932322054,73218.1256137259
31.7122482080347,73063.2879686562
31.825103183864,72894.7188133455
31.9379581596933,72706.1015554194
32.0508131355226,72514.6947156253
32.1636681113519,72297.4032097326
32.2765230871812,72106.9526497828
32.3893780630105,71857.0673795521
32.5022330388398,71615.6671907957
32.6150880146691,71360.2161355614
32.7279429904984,71099.7722281433
32.8407979663277,70820.4811434538
32.953652942157,70525.5142847075
33.0665079179863,70251.6715784773
33.1793628938156,69926.8810880156
33.2922178696449,69596.4181775761
33.4050728454742,69252.1204451692
33.5179278213036,68916.2295553513
33.6307827971329,68579.4396092858
33.7436377729622,68221.9054385517
33.8564927487915,67883.4732672909
33.9693477246208,67527.6771331497
34.0822027004501,67178.162275101
34.1950576762794,66804.4907166698
34.3079126521087,66468.0113370825
34.420767627938,66104.7556646422
34.5336226037673,65757.2719553457
34.6464775795966,65414.7547303897
34.7593325554259,65083.4420235577
34.8721875312552,64713.0264960841
34.9850425070845,64424.8160006533
35.0978974829138,64098.2257649057
35.2107524587431,63807.3444559594
35.3236074345724,63488.3233560499
35.4364624104017,63228.5940616592
35.549317386231,62924.4928680643
35.6621723620603,62645.7345212725
35.7750273378896,62395.2156420919
35.8878823137189,62145.9221579605
36.0007372895483,61915.5564772812
36.1135922653776,61686.3933190271
36.2264472412069,61487.7779906411
36.3393022170362,61270.6082806956
36.4521571928655,61077.9107889939
36.5650121686948,60903.76657282
36.6778671445241,60732.8233316814
36.7907221203534,60603.2973229832
36.9035770961827,60457.153302254
37.016432072012,60323.9176860503
37.1292870478413,60195.9563317362
37.2421420236706,60094.4371610869
